desired_x,desired_y,desired_z
0.0100452,0.00502258,0
0.0200452,0.0100224,0
0.0300452,0.015022,0
0.0400452,0.0200213,0
0.0500452,0.02502,0
0.0600452,0.0300181,0
0.0700452,0.0350154,0
0.0800452,0.0400119,0
0.0900452,0.0450074,0
0.100045,0.0500017,0
0.0136491,0.00682448,0
0.0236491,0.0118243,0
0.0336491,0.0168237,0
0.0436491,0.0218228,0
0.0536491,0.0268213,0
0.0636491,0.0318192,0
0.0736491,0.0368162,0
0.0836491,0.0418123,0
0.0936491,0.0468074,0
0.103649,0.0518013,0
0.0235833,0.0117914,0
0.0335833,0.0167909,0
0.0435833,0.0217899,0
0.0535833,0.0267884,0
0.0635833,0.0317863,0
0.0735833,0.0367834,0
0.0835833,0.0417795,0
0.0935833,0.0467746,0
0.103583,0.0517685,0
0.113583,0.0567611,0
0.0346412,0.0173197,0
0.0446412,0.0223187,0
0.0546412,0.0273172,0
0.0646412,0.032315,0
0.0746412,0.0373119,0
0.0846412,0.042308,0
0.0946412,0.0473029,0
0.104641,0.0522967,0
0.114641,0.0572892,0
0.124641,0.0622803,0
0.0461142,0.0230551,0
0.0561142,0.0280534,0
0.0661142,0.0330511,0
0.0761142,0.0380479,0
0.0861142,0.0430438,0
0.0961142,0.0480386,0
0.106114,0.0530322,0
0.116114,0.0580245,0
0.126114,0.0630153,0
0.136114,0.0680046,0
0.0582857,0.0291387,0
0.0682857,0.0341362,0
0.0782857,0.0391329,0
0.0882857,0.0441285,0
0.0982857,0.0491231,0
0.108286,0.0541164,0
0.118286,0.0591084,0
0.128286,0.0640989,0
0.138286,0.0690878,0
0.148286,0.0740749,0
0.0707852,0.0353852,0
0.0807852,0.0403816,0
0.0907852,0.045377,0
0.100785,0.0503713,0
0.110785,0.0553643,0
0.120785,0.0603559,0
0.130785,0.065346,0
0.140785,0.0703345,0
0.150785,0.0753212,0
0.160785,0.080306,0
0.0848306,0.0424026,0
0.0948306,0.0473975,0
0.104831,0.0523913,0
0.114831,0.0573837,0
0.124831,0.0623748,0
0.134831,0.0673642,0
0.144831,0.072352,0
0.154831,0.077338,0
0.164831,0.082322,0
0.174831,0.087304,0
0.0999257,0.0499421,0
0.109926,0.0549352,0
0.119926,0.0599269,0
0.129926,0.0649172,0
0.139926,0.0699058,0
0.149926,0.0748926,0
0.159926,0.0798776,0
0.169926,0.0848607,0
0.179926,0.0898415,0
0.189926,0.0948202,0
0.116065,0.0579997,0
0.126065,0.0629906,0
0.136065,0.0679798,0
0.146065,0.0729674,0
0.156065,0.0779531,0
0.166065,0.0829369,0
0.176065,0.0879187,0
0.186065,0.0928982,0
0.196065,0.0978754,0
0.206065,0.10285,0
0.127369,0.0636413,0
0.137369,0.0686303,0
0.147369,0.0736176,0
0.157369,0.0786031,0
0.167369,0.0835867,0
0.177369,0.0885681,0
0.187369,0.0935473,0
0.197369,0.0985242,0
0.207369,0.103499,0
0.217369,0.10847,0
0.144899,0.072386,0
0.154899,0.077372,0
0.164899,0.082356,0
0.174899,0.0873379,0
0.184899,0.0923177,0
0.194899,0.0972952,0
0.204899,0.10227,0
0.214899,0.107243,0
0.224899,0.112213,0
0.234899,0.11718,0
0.162566,0.0811935,0
0.172566,0.086176,0
0.182566,0.0911563,0
0.192566,0.0961343,0
0.202566,0.10111,0
0.212566,0.106083,0
0.222566,0.111053,0
0.232566,0.116021,0
0.242566,0.120986,0
0.252566,0.125948,0
0.180894,0.0903239,0
0.190894,0.0953023,0
0.200894,0.100278,0
0.210894,0.105252,0
0.220894,0.110223,0
0.230894,0.115191,0
0.240894,0.120156,0
0.250894,0.125118,0
0.260894,0.130078,0
0.270894,0.135033,0
0.199321,0.0994956,0
0.209321,0.10447,0
0.219321,0.109441,0
0.229321,0.114409,0
0.239321,0.119375,0
0.249321,0.124338,0
0.259321,0.129297,0
0.269321,0.134254,0
0.279321,0.139207,0
0.289321,0.144156,0
0.216942,0.108259,0
0.226942,0.113228,0
0.236942,0.118194,0
0.246942,0.123158,0
0.256942,0.128118,0
0.266942,0.133075,0
0.276942,0.138029,0
0.286942,0.14298,0
0.296942,0.147926,0
0.306942,0.152869,0
0.232527,0.116002,0
0.242527,0.120967,0
0.252527,0.125928,0
0.262527,0.130887,0
0.272527,0.135842,0
0.282527,0.140794,0
0.292527,0.145743,0
0.302527,0.150687,0
0.312527,0.155628,0
0.322527,0.160565,0
0.246993,0.123183,0
0.256993,0.128143,0
0.266993,0.1331,0
0.276993,0.138054,0
0.286993,0.143004,0
0.296993,0.147951,0
0.306993,0.152894,0
0.316993,0.157834,0
0.326993,0.162769,0
0.336993,0.1677,0
0.259482,0.129377,0
0.269482,0.134334,0
0.279482,0.139287,0
0.289482,0.144236,0
0.299482,0.149182,0
0.309482,0.154124,0
0.319482,0.159063,0
0.329482,0.163997,0
0.339482,0.168927,0
0.349482,0.173853,0
0.270894,0.135033,0
0.280894,0.139986,0
0.290894,0.144935,0
0.300894,0.14988,0
0.310894,0.154822,0
0.320894,0.159759,0
0.330894,0.164693,0
0.340894,0.169623,0
0.350894,0.174548,0
0.360894,0.179469,0
0.282059,0.140563,0
0.292059,0.145511,0
0.302059,0.150456,0
0.312059,0.155397,0
0.322059,0.160335,0
0.332059,0.165268,0
0.342059,0.170197,0
0.352059,0.175122,0
0.362059,0.180043,0
0.372059,0.184959,0
0.293366,0.146157,0
0.303366,0.151102,0
0.313366,0.156043,0
0.323366,0.160979,0
0.333366,0.165912,0
0.343366,0.170841,0
0.353366,0.175765,0
0.363366,0.180685,0
0.373366,0.1856,0
0.383366,0.190511,0
0.305077,0.151948,0
0.315077,0.156888,0
0.325077,0.161824,0
0.335077,0.166756,0
0.345077,0.171684,0
0.355077,0.176607,0
0.365077,0.181526,0
0.375077,0.186441,0
0.385077,0.191351,0
0.395077,0.196256,0
0.317397,0.158033,0
0.327397,0.162969,0
0.337397,0.1679,0
0.347397,0.172827,0
0.357397,0.177749,0
0.367397,0.182667,0
0.377397,0.187581,0
0.387397,0.19249,0
0.397397,0.197394,0
0.407397,0.202293,0
0.330489,0.164494,0
0.340489,0.169423,0
0.350489,0.174349,0
0.360489,0.17927,0
0.370489,0.184187,0
0.380489,0.189099,0
0.390489,0.194006,0
0.400489,0.198909,0
0.410489,0.203807,0
0.420489,0.208699,0
0.344411,0.171355,0
0.354411,0.176279,0
0.364411,0.181199,0
0.374411,0.186114,0
0.384411,0.191024,0
0.394411,0.19593,0
0.404411,0.20083,0
0.414411,0.205726,0
0.424411,0.210616,0
0.434411,0.215501,0
0.353807,0.175982,0
0.363807,0.180902,0
0.373807,0.185817,0
