desired_x,desired_y,desired_z
0.5,0.199667,0
1,0.397339,0
1.5,0.59104,0
2,0.778837,0
2.5,0.958851,0
3,1.12928,0
3.5,1.28844,0
4,1.43471,0
4.5,1.56665,0
5,1.68294,0
5.5,1.78241,0
6,1.86408,0
6.5,1.92712,0
7,1.9709,0
7.5,1.99499,0
8,1.99915,0
8.5,1.98333,0
9,1.9477,0
9.5,1.8926,0
10,1.81859,0
10.5,1.72642,0
11,1.61699,0
11.5,1.49141,0
12,1.35093,0
12.5,1.19694,0
13,1.031,0
13.5,0.85476,0
14,0.669976,0
14.5,0.478499,0
15,0.28224,0
15.5,0.0831613,0
16,-0.116748,0
16.5,-0.315491,0
17,-0.511082,0
17.5,-0.701566,0
18,-0.885041,0
18.5,-1.05967,0
19,-1.22372,0
19.5,-1.37553,0
20,-1.5136,0
20.5,-1.63655,0
21,-1.74315,0
21.5,-1.83233,0
22,-1.9032,0
22.5,-1.95506,0
23,-1.98738,0
23.5,-1.99985,0
24,-1.99233,0
24.5,-1.96491,0
25,-1.91785,0
25.5,-1.85163,0
26,-1.76691,0
26.5,-1.66453,0
27,-1.54553,0
27.5,-1.41108,0
28,-1.26253,0
28.5,-1.10137,0
29,-0.929204,0
29.5,-0.747753,0
30,-0.558831,0
30.5,-0.364325,0
31,-0.166179,0
31.5,0.0336278,0
32,0.233098,0
32.5,0.43024,0
33,0.623083,0
33.5,0.8097,0
34,0.988227,0
34.5,1.15688,0
35,1.31397,0
35.5,1.45794,0
36,1.58734,0
36.5,1.70087,0
37,1.79742,0
37.5,1.876,0
38,1.93584,0
38.5,1.97634,0
39,1.99709,0
39.5,1.99788,0
40,1.97872,0
40.5,1.93978,0
41,1.88146,0
41.5,1.80434,0
42,1.7092,0
42.5,1.59697,0
43,1.46879,0
43.5,1.32594,0
44,1.16983,0
44.5,1.00204,0
45,0.824237,0
45.5,0.638197,0
46,0.44578,0
46.5,0.248909,0
47,0.0495509,0
47.5,-0.150302,0
48,-0.348654,0
48.5,-0.543521,0
49,-0.732958,0
49.5,-0.915072,0
