vehicle_x,vehicle_y,vehicle_z
5.79152e-05,-6.60229e-07,0.00852568
0.00352181,-6.64037e-07,0.0085545
0.0173839,-7.05291e-07,0.00855905
0.0416452,-4.09633e-07,0.00855958
0.0763059,2.01366e-08,0.00856012
0.121059,1.11338e-05,0.00856062
0.171374,0.00116498,0.00856058
0.222102,0.0050714,0.00856024
0.272548,0.0116841,0.00855997
0.322573,0.0209737,0.0085858
0.372036,0.0329159,0.00859664
0.420798,0.0474826,0.00859893
0.452848,0.0586315,0.00859595
0.500141,0.0774682,0.00858499
0.546498,0.0983439,0.00855217
0.593182,0.119523,0.00855004
0.640475,0.13888,0.00854302
0.687746,0.158107,0.00855438
0.734787,0.177831,0.00855409
0.781695,0.197898,0.008554
0.828609,0.217973,0.00846744
0.875558,0.23794,0.00846776
0.922505,0.257879,0.00846791
0.969408,0.277884,0.00846781
1.01626,0.297985,0.00846751
1.06307,0.318158,0.00855367
1.10985,0.338386,0.00856077
1.15662,0.358668,0.00856022
1.18779,0.372226,0.00855989
1.23451,0.392629,0.00855944
1.28119,0.413123,0.00855902
1.32784,0.433711,0.00855859
1.37444,0.454399,0.00855815
1.421,0.475194,0.00855768
1.46751,0.496112,0.00855725
1.51396,0.517168,0.00855679
1.56035,0.538379,0.00855632
1.60684,0.559496,0.00855594
1.65428,0.578444,0.0085555
1.70208,0.596293,0.00855505
1.74969,0.614584,0.00855476
1.79702,0.633592,0.00850857
1.84424,0.652891,0.00846762
1.87574,0.665714,0.00846775
1.923,0.6849,0.00846778
1.97026,0.704041,0.0084676
2.01743,0.72334,0.00851242
2.06466,0.742638,0.0085605
2.11257,0.760196,0.00855965
2.16069,0.777099,0.00855892
2.20871,0.794229,0.00855827
2.25659,0.811741,0.00855765
2.30437,0.829539,0.00855709
2.35215,0.847398,0.00855657
2.39993,0.865246,0.00855606
2.4477,0.883152,0.00855562
2.49541,0.901206,0.00855527
2.54321,0.919166,0.00847458
2.59159,0.935451,0.00846758
2.62396,0.945942,0.00846759
2.6724,0.961815,0.0084675
2.72062,0.97827,0.00851239
2.76871,0.995188,0.00855976
2.81689,1.01193,0.00855898
2.86519,1.02829,0.00855827
2.91342,1.04483,0.00855761
2.96157,1.06161,0.00855706
3.00965,1.07863,0.00855657
3.05783,1.09551,0.00855615
3.10661,1.11058,0.0085558
3.15555,1.12503,0.00846943
3.20438,1.13973,0.00846747
3.25308,1.15481,0.00846739
3.30168,1.17019,0.00854698
3.35027,1.18564,0.00855896
3.38267,1.19594,0.00855847
3.43125,1.21144,0.00855779
3.47979,1.22707,0.00855723
3.52827,1.2429,0.00855675
3.57683,1.25868,0.00855636
3.626,1.27245,0.0084858
3.67537,1.28531,0.00846739
3.72458,1.29859,0.00849897
3.77361,1.31252,0.00855862
3.82258,1.32673,0.00855822
3.87156,1.34094,0.00855758
3.92055,1.35512,0.00855707
3.96951,1.3694,0.00853664
4.0184,1.3839,0.0084838
4.06737,1.39832,0.00848371
4.11691,1.41064,0.00853415
4.15006,1.41829,0.00855829
4.19967,1.42998,0.00855771
4.24905,1.44258,0.00855721
4.29829,1.45583,0.00851357
4.3476,1.46896,0.00849787
4.39701,1.48154,0.00852365
4.44636,1.49442,0.00854714
4.49568,1.50737,0.00855764
4.54507,1.52027,0.00853867
4.59495,1.53114,0.00851036
4.64493,1.5413,0.00851747
4.69484,1.55173,0.00853431
4.74465,1.5626,0.00854195
4.79439,1.57381,0.00854246
4.84412,1.58513,0.00852469
4.89385,1.59647,0.00851374
4.92698,1.60407,0.00851709
4.97665,1.61561,0.00852869
5.02625,1.62741,0.00854395
5.07582,1.63943,0.00853717
5.12588,1.64973,0.00852619
5.17629,1.65769,0.00852754
5.22658,1.66591,0.00853086
5.27666,1.67541,0.00853064
5.32667,1.68536,0.0085336
5.37672,1.69518,0.00853154
5.42679,1.70487,0.00852403
5.47684,1.71467,0.0085222
5.52681,1.72477,0.00852683
5.57687,1.73479,0.00853409
5.62735,1.74246,0.00853419
5.66108,1.74694,0.00853151
5.71159,1.75383,0.00853262
5.76194,1.76169,0.00852924
5.8122,1.77022,0.00853361
5.86251,1.77872,0.00853653
5.91292,1.78649,0.0085328
5.96329,1.79443,0.00853388
6.01362,1.80264,0.00852584
6.06399,1.8109,0.00852551
6.11472,1.81678,0.0085346
6.16553,1.82132,0.00853458
6.21627,1.82629,0.0085288
6.26691,1.8321,0.00853106
6.31752,1.83831,0.0085264
6.36814,1.84452,0.00853702
6.41876,1.85071,0.00852934
6.46937,1.85701,0.00852721
6.50308,1.86137,0.00852633
6.55364,1.86811,0.00852745
6.6045,1.87301,0.0085291
6.65548,1.87554,0.00852754
6.70637,1.87828,0.00853273
6.75718,1.88227,0.00852763
6.80797,1.88675,0.00852888
6.85879,1.89114,0.00852726
6.90961,1.8954,0.00853597
6.96042,1.89977,0.00853135
7.01119,1.90445,0.00852653
7.06204,1.90905,0.00853397
7.11305,1.91125,0.00853092
7.16405,1.91231,0.00853275
7.21503,1.91359,0.00852631
7.24899,1.91478,0.00852548
7.29993,1.91695,0.00852877
7.35086,1.91943,0.0085277
7.40181,1.92187,0.00853121
7.45274,1.92427,0.00853621
7.50366,1.92698,0.00852593
7.55463,1.9297,0.00852752
7.60571,1.92999,0.00853716
7.65671,1.92879,0.00853009
7.70768,1.92798,0.00853346
7.75866,1.92803,0.00852504
7.80965,1.92852,0.0085285
7.86064,1.92902,0.00853068
7.91164,1.92948,0.00852965
7.96263,1.93005,0.00852968
8.01361,1.9309,0.00853384
8.04761,1.9316,0.00853189
8.09871,1.93072,0.00853454
8.14966,1.92717,0.00853537
8.20046,1.92297,0.00853233
8.25131,1.92064,0.008529
8.30228,1.91998,0.00853248
8.35329,1.91905,0.00853824
8.40427,1.91753,0.00853997
8.45526,1.91615,0.00853094
8.50623,1.91478,0.00852389
8.55726,1.91344,0.00852501
8.60818,1.90972,0.00852781
8.65898,1.90503,0.00853542
8.70977,1.90058,0.00853096
8.7606,1.89663,0.00852421
8.81147,1.89312,0.00853199
8.84539,1.89085,0.00853189
8.89628,1.88748,0.00853103
8.94717,1.88408,0.00853575
8.99805,1.88087,0.00853307
9.049,1.87773,0.00853319
9.09977,1.87218,0.00853313
9.15032,1.86526,0.00853625
9.20088,1.85877,0.00852663
9.25154,1.85311,0.00853186
9.30226,1.84784,0.00852962
9.35298,1.84255,0.00853358
9.4037,1.8372,0.00852714
9.45442,1.83196,0.00853109
9.50517,1.82696,0.00853317
9.55596,1.82188,0.00852922
