vehicle_x,vehicle_y,vehicle_z
5.75189e-05,-9.88264e-07,0.00853715
1.04021e-07,-5.36055e-06,0.00853515
-9.58792e-05,-1.66131e-05,0.00852964
-0.000140236,-2.3177e-05,0.00852594
0.00327434,0.000398155,0.00854978
0.0170145,0.00214875,0.00855909
0.0401466,0.00530772,0.00855939
0.0658712,0.00983567,0.00855886
0.0822691,0.0134504,0.00855839
0.105613,0.0194934,0.00855784
0.127774,0.0261122,0.00855729
0.148691,0.0330748,0.00855683
0.168444,0.0402249,0.00855638
0.18711,0.0474424,0.00855598
0.204761,0.0546368,0.00855565
0.221466,0.0617405,0.00848255
0.237277,0.0687,0.00846738
0.252249,0.0754759,0.00846737
0.266436,0.0820405,0.00847978
0.27989,0.0883817,0.00855926
0.292664,0.0944948,0.00855846
0.304797,0.100375,0.00855764
0.316326,0.10602,0.00855697
0.327283,0.111432,0.0085564
0.334285,0.114913,0.00854451
0.344302,0.119917,0.00846796
0.353873,0.124724,0.00846733
0.362964,0.129311,0.00850134
0.371604,0.133687,0.00855847
0.379822,0.137862,0.00855784
0.387641,0.141845,0.00855718
0.395079,0.145643,0.00853685
0.402151,0.14926,0.00847983
0.408867,0.152701,0.00848672
0.415248,0.155974,0.00853028
0.421315,0.15909,0.00855805
0.436431,0.166904,0.00855935
0.463118,0.181057,0.00855973
0.491771,0.195832,0.00855912
0.510306,0.20498,0.00855864
0.537053,0.217673,0.00855809
0.562855,0.229437,0.0085575
0.587557,0.240314,0.00855699
0.611177,0.250408,0.00855647
0.63374,0.259808,0.00855598
0.655278,0.268589,0.00855557
0.675826,0.276814,0.00855523
0.695415,0.284534,0.00846765
0.714074,0.291791,0.00846764
0.731836,0.298623,0.00846764
0.748743,0.305067,0.00846746
0.764832,0.311153,0.00855458
0.780152,0.316909,0.00855915
0.794739,0.322359,0.00855815
0.808625,0.327523,0.0085573
0.81751,0.330816,0.00855682
0.830373,0.335569,0.00855625
0.842553,0.340055,0.00851012
0.854133,0.344309,0.00846745
0.865135,0.348342,0.00846746
0.875588,0.352166,0.0084938
0.885525,0.355795,0.008559
0.894976,0.359242,0.00855811
0.903966,0.362517,0.00855736
0.912517,0.365628,0.00855677
0.920646,0.368584,0.00850628
0.9389,0.375199,0.0085208
0.969733,0.386238,0.00855955
1.00133,0.397653,0.00855883
1.03139,0.408677,0.00855816
1.05996,0.419286,0.00855754
1.07821,0.426125,0.00855715
1.1046,0.43609,0.0085567
1.12984,0.445701,0.00855625
1.15385,0.4549,0.00855588
1.17666,0.463693,0.0084681
1.19833,0.47209,0.00846741
1.21893,0.4801,0.00846733
1.2385,0.487737,0.00855019
1.25711,0.495019,0.00855846
1.27452,0.50185,0.00855757
1.29107,0.508355,0.00855689
1.30681,0.51455,0.0085299
1.32177,0.520446,0.00846776
1.33598,0.526052,0.00846734
1.34948,0.531383,0.0085311
1.36231,0.536454,0.00855815
1.37052,0.539697,0.00855756
1.38225,0.544339,0.00854115
1.39347,0.548779,0.00849874
1.40412,0.552999,0.00849037
1.41424,0.557007,0.00851856
1.42385,0.560815,0.00855446
1.44277,0.568318,0.00855933
1.474,0.580739,0.00855973
1.50657,0.593593,0.00855902
1.53765,0.605733,0.00855836
1.56725,0.617193,0.00855773
1.59543,0.628024,0.00855714
1.62227,0.638269,0.00855661
