vehicle_x,vehicle_y,vehicle_z
-2.07103e-05,8.5806e-06,-0.00100139
0.00174775,8.37311e-06,-0.00100128
0.0106,5.85708e-06,-0.00100186
0.0243817,4.1338e-05,-0.00100119
0.0399982,0.000261722,-0.00100059
0.0604744,0.000523643,-0.00100118
0.0851182,0.00104225,-0.0010016
0.109893,0.00212621,-0.00100214
0.134562,0.00379279,-0.00100158
0.159212,0.00608857,-0.00100135
0.183794,0.00904063,-0.00100149
0.208276,0.0126789,-0.00100191
0.23256,0.0170233,-0.00100095
0.256699,0.0221448,-0.00100139
0.280668,0.0280716,-0.00100145
0.304825,0.0348603,-0.00100121
0.328789,0.0419047,-0.00100198
0.352602,0.0491,-0.00100154
0.376411,0.0564895,-0.00100144
0.400172,0.0640603,-0.0010018
0.423859,0.0718029,-0.00100183
0.447438,0.0797204,-0.00100168
0.470992,0.0878549,-0.00100145
0.494482,0.0961931,-0.00100172
0.517883,0.104726,-0.00100174
0.541168,0.113456,-0.00100095
0.564392,0.122431,-0.00100146
0.587538,0.13164,-0.00100166
0.610571,0.141075,-0.00100165
0.633509,0.150755,-0.00100203
0.656285,0.160684,-0.00100152
0.67898,0.170904,-0.00100164
0.701524,0.181391,-0.00100155
0.723948,0.192177,-0.00100182
0.746163,0.203255,-0.00100157
0.768235,0.214687,-0.00100167
0.790282,0.226451,-0.00100147
0.812347,0.238224,-0.00100175
0.834372,0.249964,-0.00100144
0.856436,0.261721,-0.00100159
0.87849,0.273454,-0.00100148
0.90058,0.28518,-0.00100171
0.922638,0.296872,-0.001001
0.944727,0.308575,-0.00100157
0.96681,0.320255,-0.00100157
0.988928,0.331925,-0.00100167
1.01103,0.343565,-0.00100124
1.03314,0.355198,-0.00100156
1.05526,0.366817,-0.00100115
1.07741,0.37842,-0.00100163
1.09957,0.389998,-0.00100197
1.12171,0.401549,-0.00100156
1.14387,0.413096,-0.00100144
1.16606,0.424612,-0.0010016
1.18828,0.436107,-0.00100198
1.21045,0.447562,-0.00100156
1.23269,0.459014,-0.00100174
1.25493,0.470419,-0.00100158
1.27724,0.481776,-0.0010019
1.29952,0.493053,-0.00100155
1.32187,0.504295,-0.00100164
1.34425,0.515458,-0.00100159
1.36668,0.526561,-0.00100184
1.3891,0.537573,-0.00100152
1.41159,0.548543,-0.00100159
1.43411,0.559428,-0.00100158
1.45669,0.570238,-0.0010018
1.47926,0.580948,-0.00100158
1.50191,0.591602,-0.00100156
1.52459,0.60216,-0.00100148
1.54734,0.612627,-0.00100178
1.57008,0.622978,-0.00100156
1.59291,0.633255,-0.00100153
