vehicle_x,vehicle_y,vehicle_z
5.7807e-05,-9.9048e-07,0.00853228
0.00352172,-1.00202e-06,0.00855377
0.0173838,-1.04427e-06,0.00855904
0.0403492,5.88225e-05,0.00855927
0.0657362,0.00098356,0.00855877
0.0910696,0.00297386,0.00855825
0.11631,0.00598904,0.00855777
0.141423,0.00997751,0.00855733
0.166379,0.0148832,0.00855696
0.191159,0.0206482,0.00855662
0.215746,0.027213,0.0085563
0.240132,0.0345172,0.00855603
0.264312,0.0425002,0.00855583
0.288283,0.0511009,0.0084685
0.312042,0.0602569,0.00846726
0.335595,0.0699112,0.00849256
0.351191,0.076597,0.00855223
0.374445,0.0869626,0.00855874
0.397541,0.0976885,0.00855821
0.420498,0.108727,0.00855772
0.443331,0.120032,0.00855726
0.466061,0.131561,0.00855686
0.488704,0.143275,0.00855645
0.511278,0.155135,0.00855607
0.5338,0.167106,0.00848124
0.556276,0.17915,0.00846723
0.578721,0.191236,0.00848743
0.601152,0.203341,0.00855833
0.623591,0.215444,0.00855822
0.64605,0.227522,0.00855757
0.66854,0.239556,0.00855706
0.69107,0.251528,0.00855663
0.706114,0.259467,0.0085104
0.728719,0.271297,0.00847732
0.751369,0.283023,0.0084982
0.774074,0.294635,0.00855228
0.796844,0.30613,0.00855796
0.81968,0.317502,0.00855739
0.842586,0.328744,0.00854282
0.865557,0.339853,0.00849854
0.888589,0.350824,0.00850276
0.911681,0.361657,0.00853465
0.934837,0.372354,0.00855789
0.958058,0.382918,0.00855124
0.981326,0.39337,0.00852239
1.00459,0.40382,0.00850359
1.02787,0.414246,0.00852023
1.05122,0.424513,0.0085344
1.06683,0.431271,0.00855039
1.09029,0.441286,0.00854182
1.11382,0.451156,0.00852582
1.1374,0.460888,0.0085137
1.16103,0.470492,0.00851932
1.18471,0.479977,0.00853806
1.20843,0.489352,0.00853997
1.2322,0.498626,0.0085368
1.256,0.50781,0.00852318
1.27982,0.51691,0.00852437
1.30368,0.525937,0.00853001
1.32755,0.534899,0.00853227
1.35145,0.543805,0.00854005
1.37537,0.552663,0.00852774
1.3993,0.561481,0.00852597
1.41526,0.567341,0.00852716
1.43921,0.576108,0.00853024
1.46316,0.584852,0.00853072
1.48712,0.593583,0.00853595
1.51108,0.602309,0.00853031
1.53506,0.611006,0.00853246
1.55904,0.619678,0.0085254
1.58303,0.628329,0.00853464
1.60702,0.636965,0.00853722
1.63102,0.64559,0.00853146
1.65502,0.654208,0.00853262
1.67902,0.662822,0.00853171
1.70302,0.671436,0.00852866
1.72702,0.680053,0.00853624
1.75102,0.688675,0.00853035
1.77501,0.697306,0.0085328
1.79101,0.703066,0.00852844
1.81499,0.711715,0.0085335
1.83898,0.720377,0.00852959
1.86295,0.729054,0.00853387
1.88693,0.737746,0.00852954
1.91089,0.746455,0.00852966
1.93485,0.75518,0.00853531
1.9588,0.763923,0.00852873
1.98275,0.772682,0.00853452
2.0067,0.781438,0.00852868
2.03066,0.790183,0.00852973
2.05462,0.798914,0.00853468
2.07858,0.807633,0.00852868
2.10255,0.816341,0.00853451
2.12652,0.825037,0.00853228
2.1505,0.833722,0.00852879
2.16648,0.839507,0.00853387
2.19046,0.848176,0.00852954
2.21445,0.856836,0.00852664
2.23844,0.865488,0.00853115
2.26243,0.874133,0.00853308
2.28642,0.88277,0.00852906
2.31042,0.891401,0.00853204
2.33441,0.900027,0.00853032
2.35841,0.908648,0.00853172
2.38241,0.917264,0.00853262
2.40642,0.925877,0.00853402
2.43042,0.934487,0.00853228
2.45442,0.943095,0.0085265
2.47843,0.9517,0.00852753
2.50243,0.9603,0.0085347
2.52646,0.96886,0.00852969
2.54248,0.974544,0.00852748
2.56653,0.983039,0.0085347
2.59059,0.991495,0.00853376
2.61466,0.999915,0.00852776
2.63875,1.0083,0.00852869
2.66284,1.01666,0.00853452
2.68695,1.02498,0.00852601
2.71106,1.03327,0.00852891
2.73519,1.04154,0.00853453
2.75932,1.04979,0.00852868
2.78346,1.05801,0.0085338
2.8076,1.06622,0.00852776
2.83175,1.07441,0.00852869
2.85591,1.08258,0.00853453
2.88007,1.09074,0.00852601
2.90423,1.09888,0.00853317
2.92035,1.10431,0.0085289
2.94451,1.11244,0.00852843
2.96869,1.12057,0.00853325
2.99286,1.12869,0.00852906
3.01704,1.1368,0.00853205
3.04123,1.14486,0.00853053
3.06545,1.15287,0.00853228
3.08967,1.16084,0.00852899
3.11392,1.16875,0.00853402
3.13818,1.17663,0.00852954
3.16245,1.18446,0.00852967
3.18673,1.19226,0.00853469
3.21102,1.20002,0.0085347
3.23532,1.20775,0.00852889
3.25963,1.21545,0.00853116
3.28395,1.22313,0.00852874
3.30017,1.22824,0.00853388
3.3245,1.23588,0.00853225
3.34883,1.24351,0.00852881
3.37317,1.25112,0.00853453
3.39751,1.25873,0.00852879
3.42185,1.26632,0.0085302
3.4462,1.2739,0.00852753
3.47055,1.28148,0.00853196
3.4949,1.28905,0.00853387
3.51925,1.29662,0.00853532
3.54363,1.30412,0.00852881
3.56802,1.31158,0.00853453
3.59243,1.31897,0.00853203
3.61685,1.32632,0.00853556
3.64129,1.33362,0.00852907
3.66574,1.34087,0.00853308
3.68204,1.34568,0.00852667
3.70651,1.35287,0.00853468
3.73099,1.36002,0.00852869
3.75548,1.36715,0.00852583
3.77998,1.37424,0.00853182
3.80448,1.38131,0.00853019
3.82899,1.38836,0.00852904
3.8535,1.39539,0.00852955
3.87802,1.4024,0.00853387
3.90254,1.4094,0.00853492
3.92706,1.41639,0.00853471
3.95159,1.42338,0.00852889
3.97611,1.43035,0.00852878
4.00065,1.43732,0.00852881
4.0252,1.44423,0.0085289
4.04977,1.45108,0.0085347
4.06615,1.45561,0.00853052
4.09075,1.46236,0.00853426
4.11536,1.46905,0.00853243
4.13998,1.4757,0.00853052
4.16462,1.48229,0.00853228
4.18926,1.48885,0.00852637
4.21392,1.49537,0.00853067
4.23858,1.50185,0.00853229
4.26326,1.5083,0.00853052
4.28794,1.51472,0.00853492
4.31262,1.52112,0.00853229
4.33731,1.5275,0.00853053
4.36201,1.53386,0.00853228
4.38671,1.5402,0.00852637
4.41141,1.54653,0.00853388
4.43612,1.55286,0.00852955
4.45259,1.55707,0.00852637
4.47729,1.56338,0.0085339
4.502,1.56969,0.00852955
4.52674,1.57592,0.00853564
4.55149,1.58208,0.00853453
4.57625,1.58818,0.00853327
4.60103,1.59422,0.00852661
4.62583,1.60019,0.00853173
4.65063,1.60611,0.00853263
4.67545,1.61199,0.00853378
4.70028,1.61781,0.00852955
4.72512,1.62359,0.00853018
4.74997,1.62934,0.00853456
4.77482,1.63505,0.00852869
4.79968,1.64073,0.00852974
4.82455,1.64638,0.00853173
4.84113,1.65014,0.00852869
4.86601,1.65575,0.00853069
4.89089,1.66135,0.00853173
4.91577,1.66694,0.00853551
4.94065,1.67252,0.00853381
4.96554,1.67808,0.00853229
4.99042,1.68365,0.00853052
5.01531,1.6892,0.00852772
5.04023,1.69467,0.00852969
5.06516,1.70006,0.00853388
5.0901,1.70538,0.00852868
5.11506,1.71062,0.00852881
5.14003,1.7158,0.0085289
5.16502,1.72092,0.0085347
5.19002,1.72598,0.00852667
5.21502,1.73099,0.00853461
5.2317,1.7343,0.00852955
5.25672,1.73924,0.00853387
5.28175,1.74413,0.00853492
5.30679,1.74899,0.00853471
5.33183,1.75382,0.0085289
5.35687,1.75862,0.00853533
5.38192,1.7634,0.00852881
5.40697,1.76816,0.00853453
5.43203,1.77291,0.0085345
5.45709,1.77765,0.00853565
5.48214,1.78238,0.00852907
5.50721,1.7871,0.00852883
5.53229,1.79173,0.0085336
5.55739,1.79627,0.00853229
5.5825,1.80074,0.00853015
5.60763,1.80513,0.00852902
5.62438,1.80802,0.00853229
5.64953,1.81229,0.00853015
5.67468,1.8165,0.00852902
5.69984,1.82066,0.0085347
5.72501,1.82477,0.00853377
5.75019,1.82882,0.00852777
5.77538,1.83284,0.0085287
5.80057,1.83682,0.00853453
5.82576,1.84077,0.00853533
5.85096,1.84469,0.0085331
5.87616,1.84859,0.00852907
5.90137,1.85246,0.00853454
5.92657,1.85633,0.00853034
5.95178,1.86018,0.00853173
5.97699,1.86402,0.00852898
6.00221,1.86785,0.0085336
6.01903,1.87035,0.00852908
6.04426,1.87404,0.00853308
6.06952,1.87763,0.00853479
6.09478,1.88115,0.00852635
6.12005,1.88459,0.00853389
6.14533,1.88796,0.00852955
6.17062,1.89127,0.00852968
6.19592,1.89451,0.00853469
6.22122,1.8977,0.00853471
6.24653,1.90085,0.00852572
6.27185,1.90394,0.00852763
6.29716,1.907,0.00853309
6.32249,1.91003,0.00852748
6.34781,1.91303,0.00853243
6.37314,1.916,0.00853052
6.39847,1.91895,0.00853427
6.41536,1.92091,0.00853235
6.44069,1.92384,0.00853052
6.46602,1.92675,0.00853492
6.49136,1.92967,0.00852965
6.5167,1.93256,0.00853388
6.54205,1.93536,0.00852954
6.56741,1.93807,0.008529
6.59278,1.94068,0.0085289
6.61816,1.94321,0.0085347
6.64355,1.94566,0.00852739
6.66895,1.94804,0.00852907
6.69435,1.95035,0.00852685
6.71975,1.95259,0.0085336
6.74516,1.95478,0.00853229
6.77057,1.95693,0.00852729
6.78752,1.95833,0.00853381
6.81294,1.9604,0.00853176
6.83836,1.96243,0.0085302
6.86378,1.96444,0.00853491
6.88921,1.96642,0.0085323
6.91463,1.96837,0.00853053
6.94006,1.97032,0.0085311
6.96549,1.97225,0.00853486
6.99091,1.97417,0.00853388
7.01635,1.97607,0.00852955
7.04179,1.97788,0.00853018
7.06724,1.97958,0.00852902
7.0927,1.9812,0.0085347
7.11816,1.98272,0.00853116
7.14362,1.98416,0.00852916
7.16909,1.98553,0.0085287
7.19456,1.98682,0.00853453
7.21155,1.98765,0.00853532
7.23702,1.98885,0.00853333
7.2625,1.98999,0.0085289
7.28798,1.99108,0.00853189
7.31346,1.99214,0.00853269
7.33894,1.99315,0.00853454
7.36443,1.99414,0.00852869
7.38991,1.9951,0.00853381
7.41539,1.99604,0.00852777
7.44088,1.99696,0.0085287
7.46636,1.99788,0.00853453
7.49185,1.99878,0.0085285
7.51734,1.99967,0.00853325
7.54283,2.00046,0.00853454
